Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SALARY
355,T.J. McConnell,PG,29,IND,24,6,24.2,3.8,7.5,0.503,0.3,1,0.28,3.5,6.5,0.538,0.522,0.5,0.6,0.8,0.8,2.5,3.3,4.8,1,0.4,1.2,1.8,8.4,7500000
161,Tacko Fall,C,26,CLE,11,1,5.4,0.5,1.1,0.417,0,0,,0.5,1.1,0.417,0.417,0.2,0.6,0.286,0.6,1.5,2.1,0.2,0,0.5,0.3,0.3,1.1,NA
184,Taj Gibson,C,36,NYK,34,3,17.6,1.3,2.6,0.494,0.1,0.4,0.267,1.2,2.2,0.541,0.517,0.7,0.9,0.742,1.5,2.7,4.3,0.6,0.4,0.8,0.6,2.6,3.4,4910000
245,Talen Horton-Tucker,SG,21,LAL,38,15,25.7,3.6,8.9,0.406,0.7,2.9,0.25,2.9,6,0.482,0.447,1.5,1.9,0.792,0.6,2.6,3.2,2.5,0.9,0.4,1.4,2.4,9.5,9500000
452,Taurean Prince,PF,27,MIN,42,8,15.5,2,4.5,0.455,1.1,2.7,0.391,1,1.8,0.554,0.574,0.7,0.9,0.757,0.4,2,2.4,0.9,0.5,0.2,0.7,1.4,5.8,15057692
338,Terance Mann,SF,25,LAC,54,20,28.6,3.8,8.1,0.474,1,2.7,0.358,2.9,5.4,0.533,0.534,1.3,1.7,0.758,1.3,3.7,5.1,2.3,0.6,0.1,1,2.2,9.9,1782621
127,Terence Davis,SG,24,SAC,30,11,17.9,3.8,8.9,0.423,1.6,5,0.329,2.1,3.9,0.542,0.515,1.2,1.5,0.818,0.4,2.8,3.1,1.3,0.8,0.4,1.1,2.3,10.4,4000000
13,Thanasis Antetokounmpo,SF,29,MIL,32,5,10.8,1.2,2.6,0.458,0,0.3,0.091,1.2,2.3,0.514,0.464,0.5,0.8,0.625,0.9,1.5,2.4,0.6,0.4,0.3,0.6,1.8,2.9,1729217
336,Théo Maledon,PG,20,OKC,26,0,13.3,1,3.5,0.297,0.3,1.8,0.188,0.7,1.7,0.419,0.346,1,1.2,0.844,0.3,1.3,1.6,1,0.4,0.1,0.8,1,3.5,NA
436,Theo Pinson,SF,26,DAL,15,0,7.4,0.6,2,0.3,0.4,1.5,0.261,0.2,0.5,0.429,0.4,0.3,0.3,1,0.1,1.2,1.3,0.9,0.3,0.1,0.1,0.6,1.9,NA
80,Thomas Bryant,C,24,WAS,10,3,15.5,2.5,5.7,0.439,0.7,1.9,0.368,1.8,3.8,0.474,0.5,1.1,1.5,0.733,1,2.2,3.2,0.6,0.3,0.5,0.5,1.6,6.8,8730159
172,Tim Frazier,PG,31,ORL,10,3,20,1.3,4.3,0.302,0.6,1.7,0.353,0.7,2.6,0.269,0.372,0.5,0.9,0.556,0.5,1.4,1.9,3.3,0.3,0.1,1.3,2.4,3.7,NA
211,Tim Hardaway Jr.,SG,29,DAL,42,20,29.6,5,12.6,0.394,2.4,7.2,0.336,2.5,5.4,0.473,0.491,1.9,2.5,0.757,0.3,3.4,3.7,2.2,0.9,0.1,0.8,1.8,14.2,21306816
334,Timothé Luwawu-Cabarrot,SF,26,ATL,33,12,13.2,1.4,3.6,0.395,0.9,2.5,0.361,0.5,1.1,0.472,0.521,0.5,0.6,0.85,0.2,1.2,1.4,0.8,0.3,0.1,0.4,1.4,4.3,NA
218,Tobias Harris,PF,29,PHI,44,44,35.3,7.3,15.1,0.482,1.2,3.5,0.342,6.1,11.7,0.523,0.521,3.1,3.7,0.851,1.1,6.2,7.3,3.8,0.7,0.6,1.8,2,18.9,36000000
63,Tony Bradley,C,24,CHI,39,7,11.6,1.5,2.6,0.58,0,0,,1.5,2.6,0.58,0.58,0.3,0.4,0.765,1.4,2.6,3.9,0.5,0.2,0.7,0.7,1.3,3.3,1789256
118,Torrey Craig,SF,31,IND,50,13,20.1,2.5,5.4,0.46,0.9,2.7,0.341,1.6,2.7,0.577,0.544,0.5,0.7,0.765,1.2,2.6,3.7,1.1,0.4,0.4,0.8,1.9,6.4,4878049
425,Trayvon Palmer,SG,27,DET,1,0,17,0,1,0,0,0,,0,1,0,0,0,0,,0,2,2,0,0,0,1,2,0,NA
291,Tre Jones,PG,22,SAS,43,4,13.4,2,4,0.5,0.1,0.4,0.158,1.9,3.5,0.543,0.509,0.8,0.9,0.895,0.4,1.4,1.8,2.3,0.4,0,0.6,0.9,4.8,1517981
339,Tre Mann,PG,20,OKC,39,7,18.9,3,7.7,0.388,1.3,3.5,0.368,1.7,4.2,0.405,0.472,0.8,1.1,0.721,0.3,1.8,2.1,0.9,0.7,0.2,0.8,1.7,8,2901240
169,Trent Forrest,PG,23,UTA,41,4,11.5,1.1,2,0.568,0.1,0.3,0.273,1,1.7,0.614,0.586,0.6,0.8,0.774,0.3,1.2,1.6,1.4,0.4,0.1,0.8,0.7,2.9,NA
17,Trevor Ariza,SF,36,LAL,16,6,19.4,1.3,3.8,0.333,1,3.1,0.32,0.3,0.6,0.4,0.467,0.4,0.6,0.7,0.3,3.1,3.4,1.3,0.4,0.3,0.5,0.8,3.9,2641691
83,Trey Burke,PG,29,DAL,29,0,10.8,2.2,5.3,0.412,0.7,2.1,0.317,1.5,3.2,0.473,0.474,0.6,0.6,0.941,0.1,0.8,0.9,1.5,0.3,0,0.6,1,5.6,3333333
335,Trey Lyles,PF,26,DET,50,3,19.4,3.4,7.5,0.452,0.9,2.9,0.306,2.5,4.6,0.543,0.511,2.7,3.5,0.786,1.2,3.6,4.8,1.1,0.4,0.5,1.1,1.8,10.4,2500000
391,Trey Murphy III,SF,21,NOP,39,0,12.7,1.2,3.6,0.338,0.9,2.6,0.34,0.3,1,0.333,0.461,0.5,0.6,0.87,0.7,1.5,2.2,0.5,0.3,0.1,0.3,0.9,3.9,3053760
78,Troy Brown Jr.,SF,22,CHI,42,5,17.4,1.8,4.3,0.428,0.7,2.1,0.333,1.1,2.2,0.516,0.508,0.5,0.6,0.76,0.6,2.6,3.3,1.1,0.5,0.1,0.5,1.1,4.8,5170564
270,Ty Jerome,SG,24,OKC,43,4,16.1,2.6,6.7,0.395,1.1,3.7,0.297,1.5,3,0.516,0.477,0.8,1,0.833,0.4,1.2,1.5,2.1,0.6,0.1,0.8,1.5,7.2,2412840
113,Tyler Cook,PF,24,CHI,17,2,11.2,1.3,2.1,0.611,0,0,,1.3,2.1,0.611,0.611,1.2,1.8,0.645,0.9,2.1,3,0.2,0.2,0.2,0.4,1.4,3.8,NA
209,Tyler Hall,SG,24,NYK,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,NA
230,Tyler Herro,SG,22,MIA,45,10,32.9,7.5,17.4,0.428,2.6,6.8,0.378,4.9,10.6,0.46,0.502,2.6,3,0.873,0.6,4.2,4.8,4,0.6,0.2,2.8,1.5,20.1,4004280
282,Tyler Johnson,PG,29,TOT,6,0,15.2,1,3.3,0.3,0.8,2.2,0.385,0.2,1.2,0.143,0.425,0,0,,0.5,1.5,2,1.2,0.5,0.5,0.3,1.2,2.8,NA
282,Tyler Johnson,PG,29,PHI,3,0,12.7,1.3,3.3,0.4,1,2.3,0.429,0.3,1,0.333,0.55,0,0,,0.3,1.7,2,0.7,0.3,0.3,0.3,1.3,3.7,NA
282,Tyler Johnson,PG,29,SAS,3,0,17.7,0.7,3.3,0.2,0.7,2,0.333,0,1.3,0,0.3,0,0,,0.7,1.3,2,1.7,0.7,0.7,0.3,1,2,NA
208,Tyrese Haliburton,SG,21,SAC,51,51,34.5,5.3,11.5,0.457,2,4.9,0.413,3.2,6.5,0.491,0.546,1.7,2,0.837,0.8,3.1,3.9,7.4,1.7,0.7,2.3,1.4,14.3,4023600
350,Tyrese Maxey,PG,21,PHI,46,45,35.8,6.4,13.5,0.475,1.4,3.5,0.407,5,9.9,0.499,0.528,2.7,3.1,0.867,0.4,3.2,3.5,4.8,0.7,0.6,1.2,2.1,16.9,2602920
292,Tyus Jones,PG,25,MEM,48,13,20.7,3.2,6.9,0.468,0.9,2.5,0.373,2.3,4.4,0.521,0.535,0.7,0.8,0.875,0.3,2.3,2.6,4.1,0.9,0,0.7,0.4,8.1,7522200
22,Udoka Azubuike,C,22,UTA,11,3,9.3,1.4,2.2,0.625,0,0,,1.4,2.2,0.625,0.625,0.2,0.5,0.4,0.6,2.4,3,0,0.1,0.5,0.6,0.9,2.9,2075880
222,Udonis Haslem,C,41,MIA,9,0,6.3,1.2,2.4,0.5,0.1,0.2,0.5,1.1,2.2,0.5,0.523,0.3,0.3,1,0.4,1.6,2,0.3,0.1,0.1,0.3,1.2,2.9,2641691
180,Usman Garuba,PF,19,HOU,15,0,7,0.5,1.6,0.333,0.1,0.9,0.154,0.4,0.7,0.545,0.375,0.1,0.1,0.5,0.6,1.7,2.3,0.5,0.5,0.4,0.2,0.6,1.3,2353320
92,Vernon Carey Jr.,C,20,CHO,4,1,4.3,0.8,1.5,0.5,0,0,,0.8,1.5,0.5,0.5,0.5,0.8,0.667,0.8,0.5,1.3,0,0.3,0,0.3,0.3,2,1517981
309,Vit Krejci,SG,21,OKC,3,0,3,0,0.7,0,0,0.7,0,0,0,,0,0.7,0.7,1,0,1,1,0,0,0,0.3,0,0.7,925258
90,Vlatko ?an?ar,PF,24,DEN,14,1,10.9,1.6,2.8,0.564,0.5,0.9,0.583,1.1,1.9,0.556,0.654,0.6,0.9,0.75,0.4,1.2,1.6,0.9,0.1,0.2,0.6,0.9,4.3,NA
157,Wayne Ellington,SG,34,LAL,33,9,19.5,2.1,5.4,0.395,1.9,4.8,0.388,0.2,0.5,0.471,0.571,0.1,0.2,0.8,0.2,1.5,1.7,0.7,0.5,0.1,0.5,1,6.2,2641691
94,Wendell Carter Jr.,C,22,ORL,46,45,29.3,5.1,10.3,0.5,1.2,3.6,0.323,4,6.7,0.594,0.556,2.2,3.1,0.711,2.1,8.2,10.2,2.6,0.7,0.7,1.7,2.7,13.6,6920027
174,Wenyen Gabriel,PF,24,TOT,7,0,6.7,0.7,1.9,0.385,0.3,0.7,0.4,0.4,1.1,0.375,0.462,0.3,0.6,0.5,0.7,1.4,2.1,0.3,0.1,0.3,0.4,1.6,2,NA
174,Wenyen Gabriel,PF,24,BRK,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,NA
174,Wenyen Gabriel,PF,24,LAC,6,0,7.7,0.8,2.2,0.385,0.3,0.8,0.4,0.5,1.3,0.375,0.462,0.3,0.7,0.5,0.8,1.5,2.3,0.3,0.2,0.3,0.5,1.8,2.3,NA
260,Wes Iwundu,SF,27,ATL,3,1,27.3,2.7,6,0.444,1,1.7,0.6,1.7,4.3,0.385,0.528,1,1.3,0.75,1,3.3,4.3,0,0.3,0,0.3,2.7,7.3,NA
349,Wesley Matthews,SG,35,MIL,26,6,19.6,2,4.8,0.419,1.2,3.4,0.348,0.8,1.3,0.6,0.544,0.2,0.4,0.6,0.6,1.4,2,0.7,0.5,0.2,0.4,1.9,5.4,1958501
33,Will Barton,SG,31,DEN,46,46,32.5,5.9,13.4,0.44,2.3,6.2,0.369,3.6,7.2,0.502,0.526,1.4,1.8,0.778,0.7,4.3,4.9,4.1,0.9,0.5,1.9,1.5,15.5,15384615
96,Willie Cauley-Stein,C,28,DAL,18,2,9.8,0.9,1.9,0.457,0.1,0.1,0.5,0.8,1.8,0.455,0.471,0.1,0.1,0.5,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9,NA
229,Willy Hernangómez,C,27,NOP,28,6,16.7,3.5,6.5,0.536,0.1,0.3,0.429,3.4,6.3,0.54,0.544,2.1,2.8,0.753,2.8,4.3,7.1,1.3,0.4,0.3,1,1.9,9.2,NA
380,Xavier Moon,SG,27,LAC,6,0,13.8,2.3,5.7,0.412,0.5,1.7,0.3,1.8,4,0.458,0.456,0.3,0.5,0.667,0.2,1.3,1.5,1.7,0.8,0.2,0.5,0.7,5.5,NA
440,Yves Pons,SF,22,MEM,7,0,3.1,0.1,0.4,0.333,0.1,0.1,1,0,0.3,0,0.5,0,0.3,0,0.3,0.4,0.7,0,0,0,0,0.3,0.4,NA
109,Zach Collins,PF,24,SAS,1,0,13,4,7,0.571,1,1,1,3,6,0.5,0.643,1,2,0.5,4,3,7,3,2,0,2,2,10,6984127
317,Zach LaVine,SF,26,CHI,44,44,34.3,8.8,18.2,0.486,2.8,7.2,0.397,6,11,0.543,0.564,4.1,4.8,0.871,0.3,4.5,4.8,4.3,0.7,0.4,2.8,1.7,24.7,19500000
403,Zeke Nnaji,PF,21,DEN,37,1,16.2,2.4,4.4,0.547,1,1.9,0.522,1.4,2.5,0.565,0.658,1,1.6,0.627,1.4,2.2,3.6,0.4,0.3,0.3,0.5,1.9,6.7,2498760
99,Zylan Cheatham,SF,26,UTA,1,0,5,0,3,0,0,2,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,NA
