Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SALARY
111,Mike Conley,PG,34,UTA,47,47,28.5,5,10.9,0.455,2.4,5.7,0.431,2.5,5.3,0.482,0.567,1.9,2.3,0.832,0.6,2.4,3,5.2,1.2,0.3,1.7,1.8,14.3,21000000
393,Mike Muscala,C,30,OKC,43,0,13.8,2.6,5.8,0.456,1.6,3.8,0.429,1,2,0.506,0.597,1.1,1.3,0.842,0.5,2.5,3,0.5,0.4,0.6,0.3,1.3,8,3500000
66,Miles Bridges,PF,23,CHO,52,52,35.8,7.4,15.2,0.486,1.8,5.8,0.312,5.6,9.4,0.593,0.545,3.1,3.9,0.784,1.2,6,7.2,3.5,1,0.9,1.8,2.6,19.7,5421493
352,Miles McBride,PG,21,NYK,20,2,7.5,0.8,2.9,0.263,0.3,1.6,0.161,0.5,1.3,0.385,0.307,0.2,0.2,0.75,0.1,0.7,0.8,1.2,0.4,0.1,0.2,0.8,1.9,925258
420,Miye Oni,SG,24,UTA,16,0,2.8,0.1,0.6,0.222,0.1,0.5,0.125,0.1,0.1,1,0.278,0,0.1,0,0.1,0.4,0.4,0.3,0,0,0.1,0.4,0.3,850331
26,Mo Bamba,C,23,ORL,44,42,26.4,3.9,8.5,0.464,1.3,3.7,0.344,2.7,4.8,0.557,0.539,0.9,1.1,0.792,2.1,5.9,8,1.3,0.6,2,1.3,2.5,10,7568742
387,Monte Morris,PG,26,DEN,50,49,30,5.2,10.9,0.475,1.6,4.3,0.373,3.5,6.5,0.543,0.55,0.9,1,0.843,0.4,2.6,3,4.3,0.7,0.2,1.1,1.2,12.8,8333333
215,Montrezl Harrell,C,28,WAS,45,3,24.4,5.4,8.4,0.645,0.1,0.3,0.267,5.3,8,0.66,0.65,3.2,4.4,0.724,2.1,4.7,6.8,2.1,0.4,0.7,1.1,1.9,14.1,9720900
76,Moses Brown,C,22,DAL,25,1,6.6,1.1,2,0.54,0,0,,1.1,2,0.54,0.54,1.1,1.7,0.628,0.6,1.7,2.4,0,0.1,0.3,0.6,1.1,3.2,1701593
379,Moses Moody,SG,19,GSW,30,4,9.2,1.1,2.9,0.375,0.5,1.8,0.296,0.6,1.1,0.5,0.466,0.5,0.6,0.824,0.2,1.2,1.4,0.3,0.1,0.2,0.2,0.7,3.2,3562080
389,Mychal Mulder,PG,27,ORL,15,2,13,1.3,4.5,0.299,0.9,3.1,0.283,0.5,1.4,0.333,0.396,0.1,0.1,1,0.1,1.3,1.4,0.2,0.3,0.1,0.5,0.8,3.7,NA
449,Myles Powell,PG,24,PHI,11,0,4.7,0.5,1.5,0.294,0.1,0.5,0.167,0.4,1,0.364,0.324,0.2,0.2,1,0.1,0.5,0.5,0.3,0.1,0,0.3,0.7,1.2,NA
342,Naji Marshall,SF,24,NOP,28,0,9.5,1,3,0.333,0.1,1.2,0.118,0.9,1.8,0.48,0.357,1.1,1.3,0.857,0.5,1.6,2.1,0.8,0.4,0.1,0.8,0.9,3.2,1517981
326,Nassir Little,SF,21,POR,42,23,25.9,3.5,7.5,0.46,1.2,3.7,0.331,2.2,3.8,0.584,0.541,1.6,2.2,0.734,1.4,4.2,5.6,1.3,0.6,0.9,1,2,9.8,2316240
236,Nate Hinton,SG,22,IND,2,0,1,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,0,0,0,0,0,0.5,0,0,NA
304,Nathan Knight,PF,24,MIN,26,2,7.3,1,2.2,0.482,0.1,0.3,0.25,1,1.8,0.521,0.5,1.1,1.6,0.707,0.8,1.4,2.2,0.5,0.2,0.3,0.5,1.1,3.3,NA
50,Nemanja Bjelica,C,33,GSW,49,0,15.4,2.3,5.2,0.453,0.8,2.4,0.342,1.5,2.8,0.547,0.531,0.9,1.3,0.71,0.9,3.2,4.1,1.8,0.6,0.3,1.2,1.6,6.4,2089448
404,Nerlens Noel,C,27,NYK,24,11,22.9,1.3,2.5,0.542,0,0.1,0,1.3,2.3,0.571,0.542,0.9,1.2,0.75,2,3.8,5.8,1,1.2,1.3,0.8,2.7,3.5,8800000
106,Nic Claxton,C,22,BRK,25,18,21.2,4,6.2,0.639,0,0,,4,6.2,0.639,0.639,1.2,2.1,0.566,2.2,3.4,5.6,0.8,0.5,1.1,0.7,2.2,9.1,1782621
6,Nickeil Alexander-Walker,SG,23,NOP,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,3261480
37,Nicolas Batum,PF,33,LAC,34,29,24.9,3.2,6.6,0.484,2,4.9,0.406,1.2,1.8,0.7,0.633,0.5,0.7,0.667,0.4,4,4.5,1.6,1,0.8,0.8,1.4,8.9,12213507
283,Nikola Joki?,C,26,DEN,47,47,33,9.9,17.1,0.578,1.6,4.2,0.381,8.3,13,0.642,0.625,4.5,5.5,0.819,2.7,11,13.7,7.9,1.4,0.7,3.6,2.6,25.9,NA
450,Norman Powell,SF-SG,28,TOT,41,39,33.1,6.2,13.6,0.459,2.4,5.8,0.409,3.9,7.8,0.495,0.546,4,5,0.805,0.4,2.8,3.2,2.1,1,0.4,1.5,2.3,18.9,15517242
450,Norman Powell,SF,28,POR,40,39,33.3,6.2,13.6,0.456,2.3,5.7,0.406,3.9,7.8,0.492,0.542,4,5,0.803,0.4,2.9,3.3,2.1,1,0.4,1.6,2.3,18.7,15517242
450,Norman Powell,SG,28,LAC,1,0,24,9,16,0.563,4,8,0.5,5,8,0.625,0.688,6,7,0.857,0,1,1,4,0,0,1,4,28,15517242
433,Norvel Pelle,C,28,UTA,3,0,6.3,1,1.7,0.6,0,0,,1,1.7,0.6,0.6,0,0,,1,1,2,0,0,0.3,0.7,0.3,2,NA
16,OG Anunoby,SF,24,TOR,36,36,37.2,6.9,15.6,0.445,2.5,7,0.359,4.4,8.6,0.515,0.525,2.1,2.8,0.752,1.5,4,5.6,2.7,1.6,0.6,1.8,3,18.4,16071429
414,Onyeka Okongwu,C,21,ATL,21,6,22.4,3.5,4.9,0.716,0,0,,3.5,4.9,0.716,0.716,1.8,2.4,0.725,2.3,3.6,5.9,1,0.7,1.5,1.1,3.1,8.7,6104280
